item_id,title,categories,my_rating,short_review
1,Northbound,"series,animation,family,cerebral",6,Pure escapism — exactly what I needed.
2,Satellite Static,"song,comedy,feel-good,dark",8,"Strong start, weaker finish — still glad I tried it."
3,The Weight of Water,"book,music,indie,lyrical,nostalgic",8,"Strong start, weaker finish — still glad I tried it."
4,Golden Hour Drive,"song,mystery,psychological,motivational",7,Honestly better than I expected — stayed with me for days.
5,The Archive Room,"series,comedy,feel-good,slow-burn",5,Watched this twice; still finding new details.
6,Small Hours,"series,drama,character-study,nostalgic",4,A bit uneven in the middle but the ending landed hard.
7,Deep Work in a Distracted World (talk),"youtube,war,historical,dark",10,I keep coming back to this one.
8,Neon Drift,"movie,horror,suspense,nostalgic",8,Exactly my vibe when I need something thoughtful.
9,The Quiet Ledger,"movie,animation,family,cerebral",5,Watched this twice; still finding new details.
10,Midnight in Oslo,"movie,sci-fi,philosophy,dark",4,Underrated gem in my rotation.
11,Signal Nine,"series,biography,inspirational,fast-paced",3,Would recommend if you like biography with a personal touch.
12,Maps We Burn,"book,indie,experimental,cerebral",6,Watched this twice; still finding new details.
13,Steel Harbor,"movie,sci-fi,mystery,slow-burn",10,Watched this twice; still finding new details.
14,Neon Cathedral,"song,sports,drama,nostalgic",10,"Overhyped for me, but I get why people love it."
15,Slow Lightning,"book,drama,character-study,nostalgic",8,"Mixed feelings: great drama, messy pacing."
16,Echoes of Tomorrow,"movie,crime,noir,motivational",7,"Overhyped for me, but I get why people love it."
17,How I Learned to Code in 6 Months,"youtube,war,historical,nostalgic",8,Pure escapism — exactly what I needed.
18,Paper Planes,"movie,sports,drama,cerebral",7,I keep coming back to this one.
19,Letters from the Edge,"book,youtube,productivity,self-improvement,nostalgic",10,"Some parts dragged, yet the highlights are worth it."
20,The Last Lighthouse,"movie,musical,emotion,fast-paced",10,Honestly better than I expected — stayed with me for days.
21,The Psychology of Habits — Explained Simply,"youtube,comedy,feel-good,motivational",9,I keep coming back to this one.
22,Paper Hearts,"song,comedy,feel-good,nostalgic",10,Instant comfort watch / listen for me.
23,Copper Street,"series,horror,suspense,fast-paced",9,Watched this twice; still finding new details.
24,Minimal Desk Setup Tour 2025,"youtube,sci-fi,mystery,fast-paced",6,A bit uneven in the middle but the ending landed hard.
25,Why We Procrastinate (and What Helps) (1),"youtube,drama,character-study,cozy",1,A bit uneven in the middle but the ending landed hard.
26,Midnight Metro,"song,romance,drama,nostalgic",9,Watched this twice; still finding new details.
27,Velvet Run,"movie,youtube,tech,motivational,motivational",8,"Some parts dragged, yet the highlights are worth it."
28,After the Flood,"series,animation,family,dark",5,"Some parts dragged, yet the highlights are worth it."
29,Deep Work in a Distracted World (talk) (1),"youtube,sci-fi,philosophy,cozy",6,Watched this twice; still finding new details.
30,The Habits of Rivers,"book,biography,inspirational,nostalgic",3,Underrated gem in my rotation.
31,The Long Weekend,"series,sci-fi,philosophy,motivational",4,Honestly better than I expected — stayed with me for days.
32,Parallel Lines,"series,sports,drama,fast-paced",8,Exactly my vibe when I need something thoughtful.
